data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,44647723,145432401,1,2021-11-10,3,N,23H,28,25,M,20,20,U,,,25,
2021,44988819,146701882,1,2021-08-01,1,N,13B,27,24,F,20,20,U,,,24,
2021,44988803,146701733,1,2021-08-01,3,N,290,28,25,F,98,10,U,,,25,
2021,44988815,146701843,1,2021-08-01,3,N,13B,26,23,M,20,20,R,,,23,
2021,44398472,144484722,1,2021-09-29,3,N,13B,43,40,M,20,40,U,,,40,
2021,46149913,150921526,1,2021-08-01,1,C,23D,38,35,M,20,40,R,,,35,
2021,44988804,146701740,1,2021-08-01,3,N,23C,38,35,M,20,20,U,,,35,
2021,44988816,146701856,1,2021-08-01,1,N,13B,52,49,M,20,40,R,,,49,
2021,44988795,146701644,1,2021-08-01,3,N,520,46,43,M,20,20,R,,,43,
2021,44398598,144485869,1,2021-08-01,1,N,13B,26,23,M,20,20,U,,,23,
2021,44988926,146702870,1,2021-08-01,1,N,23H,34,31,M,20,20,R,,,31,
2021,44988776,146701445,1,2021-08-01,1,N,13C,46,43,M,20,20,R,,,43,
2021,44988807,146701749,1,2021-08-01,1,N,13B,31,28,F,20,40,N,,,28,
2021,44988790,146701570,1,2021-08-01,1,N,13B,22,19,M,20,40,U,,,19,
2021,44988812,146701789,1,2021-08-01,1,N,13A,62,59,M,20,40,R,,,59,
2021,44989555,146706264,1,2021-08-01,1,N,520,68,65,M,20,40,R,,,65,
2021,45742478,149542923,1,2021-08-01,3,N,520,22,19,M,20,20,R,,,19,
2021,44988802,146701715,1,2021-08-01,1,N,13B,21,18,F,20,20,U,,,18,
2021,44988791,146701584,1,2021-08-01,1,N,13B,28,25,M,20,40,N,,,25,
2021,44988799,146701678,1,2021-08-02,3,N,290,23,20,M,20,40,R,,,20,
2021,46149947,150921706,1,2021-08-02,1,N,23D,62,59,M,20,20,R,,,59,
2021,44988782,146701488,1,2021-08-02,1,N,13A,31,28,F,20,20,R,,,28,
2021,44647748,145432548,1,2021-08-02,1,N,13B,28,25,F,20,40,U,,,25,
2021,44988784,146701504,1,2021-08-02,1,N,520,28,25,M,20,20,U,,,25,
