year,date,month,arrest_type,offense,age,age_group,sex,race,weapon,offense_group,race_new
2021,2021-11-10,Nov,Custodied,"Theft, Auto-theft, and Larceny",28,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-01,Aug,On View,Assault or Intimidation,27,20-29,Female,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-01,Aug,Custodied,Assault or Intimidation,26,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-29,Sep,Custodied,Assault or Intimidation,43,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-01,Aug,On View,"Theft, Auto-theft, and Larceny",38,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-01,Aug,Custodied,"Theft, Auto-theft, and Larceny",38,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-01,Aug,On View,Assault or Intimidation,52,50 or above,Male,Black or African American,Weapon with a blade,Violent Crimes,Black or African American
2021,2021-08-01,Aug,Custodied,Crime against sociey,46,40-49,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-01,Aug,On View,Assault or Intimidation,26,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-01,Aug,On View,"Theft, Auto-theft, and Larceny",34,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-01,Aug,On View,Assault or Intimidation,46,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-01,Aug,On View,Assault or Intimidation,31,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-01,Aug,On View,Assault or Intimidation,22,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-01,Aug,On View,Aggravated Assault,62,50 or above,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-01,Aug,On View,Crime against sociey,68,50 or above,Male,Black or African American,Unarmed,Crime Against Society,Black or African American
2021,2021-08-01,Aug,Custodied,Crime against sociey,22,20-29,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-08-01,Aug,On View,Assault or Intimidation,21,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-01,Aug,On View,Assault or Intimidation,28,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-02,Aug,Custodied,Property Destruction,23,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-02,Aug,On View,"Theft, Auto-theft, and Larceny",62,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-02,Aug,On View,Aggravated Assault,31,30-39,Female,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-08-02,Aug,On View,Assault or Intimidation,28,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-02,Aug,On View,Crime against sociey,28,20-29,Male,Black or African American,Unarmed,Crime Against Society,Black or African American
2021,2021-08-02,Aug,On View,"Theft, Auto-theft, and Larceny",30,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-02,Aug,On View,"Theft, Auto-theft, and Larceny",41,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-02,Aug,On View,"Theft, Auto-theft, and Larceny",39,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-02,Aug,Custodied,"Theft, Auto-theft, and Larceny",36,30-39,Female,White,Unarmed,Property Crimes,White
2021,2021-08-02,Aug,On View,Property Destruction,31,30-39,Female,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-02,Aug,Custodied,"Theft, Auto-theft, and Larceny",53,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-08-02,Aug,On View,Assault or Intimidation,54,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-08-02,Aug,On View,Assault or Intimidation,56,50 or above,Female,White,Unarmed,Violent Crimes,White
2021,2021-08-03,Aug,On View,Assault or Intimidation,40,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
